label,area,perimeter,eccentricity,solidity,mean_intensity,extent
1,495.0,127.88225099390857,0.9577712589759676,0.7882165605095541,0.26011574268341064,0.37728658536585363
2,298.0,63.112698372208094,0.7174496428041517,0.9644012944983819,0.25872573256492615,0.7468671679197995
3,206.0,50.62741699796952,0.56704849180277,0.9671361502347418,0.2541424334049225,0.807843137254902
4,98.0,38.62741699796952,0.8066660703809487,0.8909090909090909,0.19387361407279968,0.5798816568047337
5,151.0,45.4558441227157,0.7925027274833096,0.949685534591195,0.2049371749162674,0.6832579185520362
6,111.0,38.14213562373095,0.8018832248208166,0.9568965517241379,0.2719310522079468,0.8222222222222222
7,72.0,28.970562748477143,0.7190162980493435,0.9863013698630136,0.20890933275222778,0.7272727272727273
8,265.0,59.1126983722081,0.756621615802739,0.9814814814814815,0.27499791979789734,0.742296918767507
9,533.0,108.32590180780451,0.8572288519116334,0.8367346938775511,0.265633761882782,0.5806100217864923
10,205.0,52.52691193458118,0.5851449252661978,0.9490740740740741,0.2010451704263687,0.7192982456140351
11,109.0,35.79898987322333,0.575971864153944,0.9819819819819819,0.25710806250572205,0.7622377622377622
12,75.0,29.556349186104043,0.6696337726984821,0.974025974025974,0.25089386105537415,0.7575757575757576
13,461.0,89.01219330881976,0.7221637337340079,0.88996138996139,0.31023305654525757,0.6358620689655172
14,320.0,66.42640687119285,0.5972317717609126,0.9667673716012085,0.20722833275794983,0.7322654462242563
15,241.0,61.59797974644667,0.8132352350966471,0.9525691699604744,0.2932125926017761,0.7484472049689441
16,442.0,90.08326112068524,0.8924342020816737,0.8947368421052632,0.29744452238082886,0.5443349753694581
17,128.0,39.798989873223334,0.7427452059611633,0.9922480620155039,0.2851461172103882,0.7757575757575758
18,151.0,42.62741699796952,0.4700522408240291,0.9805194805194806,0.2158471643924713,0.7743589743589744
19,103.0,36.384776310850235,0.6900789072229118,0.9363636363636364,0.2778837978839874,0.7202797202797203
20,81.0,30.14213562373095,0.5983881475232762,1.0,0.2356548309326172,0.8181818181818182
21,134.0,39.79898987322333,0.3594406201909731,0.9781021897810219,0.2877296805381775,0.7928994082840237
22,312.0,63.11269837220809,0.4105935598369591,0.9719626168224299,0.2415330857038498,0.7819548872180451
